Configuration,Type,Width,Length,Area,Hire_Unit_Rate,Total_Hire_Rate,Labour_Rate,Labour_Total,Number_of_Legs,Weight_per_Leg,Total_Weight,Weight_Size,Total_Number_of_weights,Cost_per_weight,Labour_Per_Weight,Fire_Extinguisher_Qty,Fire_Extinguisher_Unit_Price,Fire_Extinguisher_Total_Price,Exit_Sign_Qty,Exit_Sign_Unit_Price,Exit_Sign_Total_Price,Emergency_Light_Qty,Emergency_Light_Unit_Price,Emergency_Light_Total_Price,Wind_Speed
Configuration	Type	Width (m)	Length (m)	Area (m2)	Hire Unit Rate	Total Hire Rate	Labour Rate	Labour Total 	Number of Legs	Weight per Leg (kg)	Total Weight (kg)	Weight Size (KG) 	Total Number of weights 	Cost per weight 	Labour Per Weight 	Fire Extinguisher Qty	Fire Extinguisher Unit Price	Fire Extinguisher Total Price	Exit Sign Qty	Exit Sign Unit Price	Exit Sign Total Price	Emergency Light Qty	Emergency Light Unit Price	Emergency Light Total Price	Wind Speed 
3m x 3m Hi Tops	Marquee	3	3	9	 $198.45 	 $198.45 	55%	 $350.00 	4	120	480	30	16	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
3m x 3m Shade Canopy	Marquee	3	3	9	 $198.45 	 $198.45 	55%	 $350.00 	4	120	480	30	16	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
3m x 6m Shade Canopy	Marquee	3	6	18	 $396.90 	 $396.90 	55%	 $350.00 	6	120	720	30	24	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 3m	Structure	4	3	12	 $23.00 	 $276.00 	55%	 $350.00 	4	180	720	30	24	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 6m	Structure	4	6	24	 $18.20 	 $436.80 	40%	 $350.00 	6	180	1080	30	36	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 9m	Structure	4	9	36	 $18.20 	 $655.20 	40%	 $350.00 	8	180	1440	30	48	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 12m	Structure	4	12	48	 $18.20 	 $873.60 	40%	 $350.00 	10	180	1800	30	60	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 15m	Structure	4	15	60	 $18.20 	 $1,092.00 	40%	 $436.80 	12	180	2160	30	72	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 18m	Structure	4	18	72	 $18.20 	 $1,310.40 	40%	 $524.16 	12	180	2160	30	72	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 21m	Structure	4	21	84	 $18.20 	 $1,528.80 	40%	 $611.52 	16	180	2880	30	96	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
4m x 24m	Structure	4	24	96	 $18.20 	 $1,747.20 	40%	 $698.88 	18	180	3240	30	108	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 3m	Structure	6	3	18	 $23.00 	 $414.00 	55%	 $350.00 	6	240	1440	30	48	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 4m	Structure	6	4	24	 $18.20 	 $436.80 	40%	 $350.00 	6	240	1440	30	48	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 8m	Structure	6	8	48	 $18.20 	 $873.60 	40%	 $350.00 	8	240	1920	30	64	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 12m	Structure	6	12	72	 $18.20 	 $1,310.40 	40%	 $524.16 	10	240	2400	30	80	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 16m	Structure	6	16	96	 $18.20 	 $1,747.20 	40%	 $698.88 	12	240	2880	30	96	 $6.60 	 $1.65 	0	$22.05	$0.00	0	$16.55	$0.00	0	$44.10	$0.00	
6m x 20m	Structure	6	20	120	 $18.20 	 $2,184.00 	40%	 $873.60 	14	240	3360	30	112	 $6.60 	 $1.65 	1	$22.05	$22.05	2	$16.55	$33.10	2	$44.10	$88.20	1
